Name,Value(The authors cited by this author and the number of citations)
Krit Salahddine,"{'Ernst Lueder': 1, 'HJ Shin': 1, 'WH Ki': 1, 'PKT Chan': 1, 'PKT Mok': 1, 'SK Reynolds': 1, 'TY Man': 1}"
Zared Kamal,"{'Ernst Lueder': 1, 'HJ Shin': 1, 'WH Ki': 1, 'PKT Chan': 1, 'PKT Mok': 1, 'SK Reynolds': 1, 'TY Man': 1}"
Qjidaa Hassan,"{'Ernst Lueder': 1, 'HJ Shin': 1, 'WH Ki': 1, 'PKT Chan': 1, 'PKT Mok': 1, 'SK Reynolds': 1, 'TY Man': 1}"
Zouak Mohcine,"{'Ernst Lueder': 1, 'HJ Shin': 1, 'WH Ki': 1, 'PKT Chan': 1, 'PKT Mok': 1, 'SK Reynolds': 1, 'TY Man': 1}"
Roohallah Rastaghi,{'PW Shor': 1}
Dalili Oskouei,{'PW Shor': 1}
Kausal Malladi,"{'Ying Lu': 1, 'Dimitris Papadias': 1, 'Spiridon Bakiras': 1, 'David Swanson': 1, 'Chen He': 1, 'Ode Krestser': 1, 'Hweehwa Pang': 1, 'Kyriakos Mouraditis': 1}"
Yamini Muralitharan,"{'Ying Lu': 1, 'Dimitris Papadias': 1, 'Spiridon Bakiras': 1, 'David Swanson': 1, 'Chen He': 1, 'Ode Krestser': 1, 'Hweehwa Pang': 1, 'Kyriakos Mouraditis': 1}"
Vikas Saxena,{'ZN Li': 1}
Sun Xingming,"{'Weihai Li': 1, 'Yanjun Cao': 1, 'Tiegang Gao': 1, 'Nenghai Yu': 1, 'Li Kang': 1, 'Xiaopin Cheng': 1, 'Jiwu Huang': 1, 'Qunting Yang': 1, 'Guoping Qiu': 1, 'Weiqi Luo': 1, 'Li Fan': 1}"
Mahmood Shafiee,"{'CL Hwang': 1, 'DaeHee Yoon': 1, 'BH Wixom': 1, 'Jiwoong Shin': 1, 'GH Tzeng': 1}"
Golriz Amooee,"{'CL Hwang': 1, 'DaeHee Yoon': 1, 'BH Wixom': 1, 'Jiwoong Shin': 1, 'GH Tzeng': 1}"
Yaghoub Farjami,"{'CL Hwang': 1, 'DaeHee Yoon': 1, 'BH Wixom': 1, 'Jiwoong Shin': 1, 'GH Tzeng': 1}"
Ravi Rastogi,"{'DR Jose': 1, 'SM Reddy': 1, 'EW Mayr': 1, 'HJ Siegal': 1, 'WJ Dally': 1, 'LN Bhuyan': 1, 'END WHILE': 1, 'LS Shapley': 1, 'RE Tarjan': 1, 'Stable Matching': 1, 'GM Prabhu': 1, 'DS Chauhan': 1, 'RC Joshi': 1, 'CW Chen': 1, 'TY Feng': 1, 'HJ Siegel': 1, 'VK Sehgal': 1, 'See Figure': 1, 'DP Agrawal': 1, 'END IF': 1, 'Preference Lists': 1, 'PK Bansal': 1, 'SC Kothari': 1, 'END FOR': 1, 'RW Irving': 1, 'VP Kumar': 1}"
LIJUN ZHANG,"{'JP Katoen': 2, 'Marcel Dekker': 1}"
