Name（当前作者）,Value（该作者引用过的作者及引用次数）
CARSTEN LUTZ,"{'Domenico Lembo': 1, 'Shqiponja Ahmetaj': 1, 'Boris Motik': 1, 'Anees Mehdi': 1, 'Jaroslav Nesetril': 1, 'Sebastian Rudolph': 1, 'QuantifierFree UCQs': 1, 'Cristina Feier': 1, 'Stephan Grimm': 1, 'Pierre Bourhis': 1, 'Marcelo Arenas': 1, 'Giovanni Amendola': 1, 'Inanc Seylan': 1, 'Roman Kontchakov': 1, 'Georg Gottlob': 1, 'Nhung Ngo': 1, 'Markus Krotzsch': 1, 'Peter Jeavons': 1, 'Elena Botoeva': 1, 'Boris Konev': 1, 'Ian Horrocks': 1, 'Related Work': 1, 'Richard Hull': 1, 'Nicola Leone': 1, 'Alessandro Artale': 1, 'By Lemma': 1, 'Surjective CSPs': 1, 'By Points': 1, 'Enrico Franconi': 1, 'Thomas Eiter': 1, 'Andre Hernich': 1, 'Kunal Sengupta': 1, 'Manuel Bodirsky': 1, 'Tomas Feder': 1, 'Jan Foniok': 1, 'Meghyn Bienvenu': 1, 'Magdalena Ortiz': 1, 'Daniele Nardi': 1, 'Carsten Lutz': 1, 'Adila Krisnadhi': 1, 'Ullrich Hustadt': 1, 'Diego Calvanese': 1, 'Birte Glimm': 1, 'Pablo Barcelo': 1, 'Franz Baader': 1, 'Antti Kuusisto': 1, 'Frederick Maier': 1, 'Sebastian Brandt': 1, 'Antonella Poggi': 1, 'Guohui Xiao': 1, 'Peter Hansen': 1, 'Jan Kara': 1, 'Leonid Libkin': 1, 'Michael Benedikt': 1, 'Serge Abiteboul': 1}"
Palaiseau Cedex,{'Catuscia Palamidessi': 1}
KO LODZIEJCZYK,"{'Takeshi Yamazaki': 1, 'Ordered Ramseys': 1, 'Additive Ramsey': 1}"
HENRYK MICHALEWSKI,"{'Takeshi Yamazaki': 1, 'Ordered Ramseys': 1, 'Additive Ramsey': 1}"
ECILIA PRADIC,"{'Takeshi Yamazaki': 1, 'Ordered Ramseys': 1, 'Additive Ramsey': 1}"
Christian Matt,{'Christopher Portmann': 2}
Ueli Maurer,{'Christopher Portmann': 2}
Christopher Portmann,{'Christopher Portmann': 2}
FORBIDDEN TRANSITIONS,"{'Bellin Bel': 1, 'Adria Lyra': 1}"
TU Kaiserslautern,{ 'Pascal Schweitzer': 1}
Ural Branch,{'MJ Katz': 2}
Kuldeep Kumar,{'Van Essen': 1}
Pietro Gori,{'Van Essen': 1}
Benjamin Charlier,{'Van Essen': 1}
Stanley Durrleman,{'Van Essen': 1}
CYNTHIA KOP,{'TF Serbanuta': 1}
AART MIDDELDORP,{'TF Serbanuta': 1}
ANGELO MONTANARI,"{ 'DM Gabbay': 1, 'EM Clarke': 1, 'EA Emerson': 1, 'AG Cohn': 1, 'JY Halpern': 1, 'MJ Egenhofer': 1}"
Benjamin Morandi,"{ 'Michael Stal': 1, 'Ingmar Fliege': 1, 'Marwa Shousha': 1, 'Richard Helm': 1, 'Benjamin Morandi': 1, 'Frank Buschmann': 1, 'Mika Ohtsuki': 1, 'Len Bass': 1, 'Sebastian Nanz': 1,  'Mary Shaw': 1, 'Erich Gamma': 1, 'Douglas Schmidt': 1, 'Lionel Briand': 1, 'JM Douin': 1, 'Alexander Geraldy': 1, 'Faraz Torshizi': 1, 'Paul Clements': 1, 'Regine Meunier': 1}"
Scott West,"{ 'Michael Stal': 1, 'Ingmar Fliege': 1, 'Marwa Shousha': 1, 'Richard Helm': 1, 'Benjamin Morandi': 1, 'Frank Buschmann': 1, 'Mika Ohtsuki': 1, 'Len Bass': 1, 'Sebastian Nanz': 1,  'Mary Shaw': 1, 'Erich Gamma': 1, 'Douglas Schmidt': 1, 'Lionel Briand': 1, 'JM Douin': 1, 'Alexander Geraldy': 1, 'Faraz Torshizi': 1, 'Paul Clements': 1, 'Regine Meunier': 1}"
Sebastian Nanz,"{ 'Michael Stal': 1, 'Ingmar Fliege': 1, 'Marwa Shousha': 1, 'Richard Helm': 1, 'Benjamin Morandi': 1, 'Frank Buschmann': 1, 'Mika Ohtsuki': 1, 'Len Bass': 1, 'Sebastian Nanz': 1,  'Mary Shaw': 1, 'Erich Gamma': 1, 'Douglas Schmidt': 1, 'Lionel Briand': 1, 'JM Douin': 1, 'Alexander Geraldy': 1, 'Faraz Torshizi': 1, 'Paul Clements': 1, 'Regine Meunier': 1}"
Hassan Gomaa,"{ 'Michael Stal': 1, 'Ingmar Fliege': 1, 'Marwa Shousha': 1, 'Richard Helm': 1, 'Benjamin Morandi': 1, 'Frank Buschmann': 1, 'Mika Ohtsuki': 1, 'Len Bass': 1, 'Sebastian Nanz': 1,  'Mary Shaw': 1, 'Erich Gamma': 1, 'Douglas Schmidt': 1, 'Lionel Briand': 1, 'JM Douin': 1, 'Alexander Geraldy': 1, 'Faraz Torshizi': 1, 'Paul Clements': 1, 'Regine Meunier': 1}"
RADU MARDARE,"{'WD Neumann': 1, 'YD Burago': 1, 'DH Fremlin': 1, 'GD Plotkin': 1, 'DE Edwards': 1, 'FW Lawvere': 1, 'JDH Smith': 1}"
Pouloe Jacob,"{'RK Balan': 1, 'BG Chun': 1, 'CR Das': 1, 'RC Joshi': 1}"
