name,interests
Diederik Aerts,"Quantum Foundations, Quantum Cognition, Quantum Information, Cognitive Science, Economics"
Sandro Sozzo,"Foundations of science, Epistemology, Decision theory, Cognitive Modelling"
Lars Birkedal,"Computer Science, Programming, Logic, Semantics"
Patricia Bouyer,"v®¶rification, model-checking, syst®®mes temporis®¶s, jeux"
Andrew M. Childs,"quantum information, quantum computing, quantum algorithms"
J®πrgen M®πnch,"Software Engineering, Entrepreneurship, Innovation, Product Management"
Philippe Schnoebelen,fail
Moshe Y. Vardi,Logic and Computation
Alexander Kurz,"logic, category theory, theoretical computer science, programming languages, formal methods"
Harumichi Nishimura,fail
Radu Mardare,
Luc Segoufin,fail
Matthew Pitkin,"Astrophysics, Gravitational Waves"
Simon Perdrix,"Quantum Information, Quantum Computing"
Sylvain Schmitz,"logic in computer science, verification"
Giorgi Japaridze (Dzhaparidze),"Computability Logic, Game Semantics, Provability Logic"
Manuel Bodirsky,"Model Theory, Finite Model Theory, Universal Algebra, Ramsey Theory, Constraint Satisfaction"
Bart Jacobs,
Amy Glen,"Combinatorics on Words, Combinatorics, Discrete Mathematics, Number Theory"
Krishnendu Chatterjee,"Game theory, Logic and automata theory, Algorithms, Evolutionary Game theory, Algorithmic Game Theory"
Muhammad Ashraf Shaheen,"Coordination Chemistry, Metal Based Drug Designe, Organometallics, Bioinorganic Chemistry, Metal Complexes as antitumor Agents"
Thomas A. Henzinger,fail
Martin Grohe,
James Worrell,"Logic, Automata, Decision Procedures"
Igor Walukiewicz,"Verification, Automata theory, Concurrency, Timed Systems, Higher-order program verification"
Nicolas Markey,"Formal methods, model checking, temporal logic, synthesis, game theory"
Kim G. Larsen,
Carsten Lutz,"Knowledge Representation, Artificial Intelligence, Logic in Computer Science, Theoretical Computer Science"
Thierry Coquand,fail
Le Gall Jean-Fran?ois,"Brownian motion, branching processes, random graphs"
matthew hennessy,Trinity College Dublin
Alejandro D®™az-Caro,"Type theory, quantum computing, rewriting, logic, lambda calculus"
Sevag Gharibian,"Algorithms & complexity theory, quantum computation"
Miko?aj Boja®Ωczyk,
Achim Blumensath,
Lutz Schr?der,"Logic in Computer Science, Knowledge Representation, Formal Methods, Theoretical Computer Science"
Johannes Borgstr?m,"Probabilistic programming, concurrency, type systems"
Mike B Bennett,"marine biology, biomechanics, animal locomotion"
Alain Finkel,"model checking, foundations of algorithmic verification, model checking, theoretical computer"
Benedikt Bollig,"automata theory, logic, concurrency theory, artificial intelligence, machine learning"
Stefan Milius,"Semantics, Coalgebra, Category Theory, Verification, Formal Methods"
Filippo Bonchi,Logic and Semantics of Programs
Klaus Weihrauch,fail
R A S Thomas,"Dosimetry, Primary Standards, Radiotherapy, Audit"
Clemens Kupke,fail
Bruno Courcelle,"logic, graph, algorithmic metatheorem"
Giulio Manzonetto,Theoretical Computer Science
Ugo Dal Lago,"Programming Language Theory, Implicit Computational Complexity, Quantum Computing, Probabilistic Programming, Cryptography"
Hongseok Yang,"Probabilistic Programming, Programming Languages, Machine Learning, Software Verification, Distributed System"
Carlo A. Furia,"Computer Science, Formal Methods, Software Engineering, Verification"
Bertrand Meyer,"Software engineering, object-oriented programming, software verification, Eiffel, concurrent programming"
Benedikt Ahrens,"Syntax and semantics of programming languages, Univalent Foundations, Computer theorem proving"
Holger Hermanns,"Model Checking, Stochastic Modelling, Dependability, Energy Informatics"
Thomas Brihaye,
Professor Maria Zambon,
Arno Pauly,"Computability theory, descriptive set theory, (algorithmic) game theory"
Rasmus Ejlers M?gelberg,fail
Delia Kesner,"semantics of programming languages, proof theory, rewriting, concurrenty theory"
Thomas Colcombet,fail
Massimo Bartoletti,Computer Science
Sven Schewe,"Automata Theory, Synthesis, Game Theory, Model Checking, Verification"
Michael Lampis,"Algorithms, Theoretical Computer Science"
Martin G. Zimmermann,"physics, economics"
Marc Zeitoun,fail
Tarmo Uustalu,"logic, semantics, programming languages, functional programming, type theory"
Bernd Bischl,"Machine Learning, Statistics, Data Science, Statistical Learning, Scientific Software"
Tomas Veloz,"Reaction Networks, Quantum Cognition, Interdisciplinary Science, Emergence, Worldviews"
David Lillis,"Legal NLP, Information Retrieval, Digital Forensics, Data Analytics, Multi Agent Systems"
Emmanuel Filiot,
Olaf Beyersdorff,"Proof Complexity, Computational Complexity, Computational Logic, Satisfiability, QBF"
Bart?omiej P?aczek,"sensor networks, intelligent transport systems, computer vision"
Conrad Sanderson,"artificial intelligence, responsible ai, machine learning, computer vision, mathematical software"
Christine Tasson,"Programming languages, Probabilistic Programming, Distributed Computing, Reactive Systems"
Yuri G. Gordienko,"distributed computing, machine learning, GPU computing, image and video processing, physics"
Robin Kothari,"Quantum algorithms, quantum complexity theory, computational complexity, quantum computing, query complexity"
Jan Schwinghammer,fail
Yusuke Kawamoto,"Chemical biology, Nucleic acids"
J. H. Davenport,fail
Oleg Alienin,
Heribert Vollmer,"Komplexit?tstheorie, Logik"
Bas Spitters,"Categorical type theory, semantics, program verification, blockchain"
"Sergii Stirenko, ß≥ß÷ß‚ß‘?ß€ ß≥ß‰?ß‚ß÷ßﬂß‹ß‡, ß≥ß‰?ß‚ß÷ßﬂß‹ß‡ ß≥.ß§., ß≥ß÷ß‚ß‘ß÷ß€ ß≥ß‰ß⁄ß‚ß÷ßﬂß‹ß‡","AI, Machine Learning, Computer Vision, Computer Engineering, High Performance Computing"
Jurriaan Rot,
Gabriel Kronberger,"Data Mining, Machine Learning, Symbolic Regression"
Parosh Aziz Abdulla,fail
Vincenzo Aquilanti,physical and quantum chemistry -reaction kinetics -chirality - stereodynamics
Matthias Christandl,"Quantum Information, Quantum Computation, Quantum Cryptography, Quantum Simulation"
Giuseppe Casalicchio,"Machine Learning, xAI, Explainable AI, interpretability, Interpretable Machine Learning"
Jonathan D. Beezley,fail
Alexander B. Rabinovich,"Tsunami, Tide, Seiches, Sea level, Currents"
dusko pavlovic,"security, semantics, networks"
Thomas Ehrhard,"Proof Theory, Semantics of Programming Languages"
Ichiro Hasuo,
Nick Bezhanishvili,"Modal Logic, Algebraic Logic, Duality Theory"
Joachim Parrow,Computer Science
Ana Carla P. Bitencourt,fail
Thorsten Altenkirch,"Type Theory, Category Theory, Functional Programming"
Mirco Ragni,Quantum mechanics
J?rg Endrullis,"Computer Science, Logic, Term Rewriting"
Prateek Karandikar,fail
Dimitri Hendriks,Theoretical Computer Science
Frank Wolter,"Artificial Intelligence, Logic in Computer Science, Knowledge Representation, Modal Logic, Logic"
Rui L. Reis,"tissue engineering, regenerative medicine, biomaterials, stem cells, biomedical engineering"
Ahmed Bouajjani,"Verification, program verification, concurrency, concurrency theory, automata"
Jean-Louis Krivine,"logique, th®¶orie des ensembles, lambda-calcul, espaces de Banach, g®¶om®¶trie alg®¶brique r®¶elle"
Matthias Ziegler,"Neuroscience, Cognitive Neuroscience, Human Machine Teaming"
Samson Abramsky,"Theoretical computer science, quantum information and foundations, game theory"
Florent Foucaud,"Graph theory, Algorithms, Complexity"
Neil Ghani,
Nicolai Kraus,"Homotopy Type Theory, Univalent Foundations, Type Theory, Category Theory, Higher-Dimensional Category Theory"
Helle Hvid Hansen,"modal logic, coalgebra, algebra, automata, games"
Hendrik Jan Hoogeboom,"Formal Languages, Algorithms, Natural Computing"
paula alexandra pulido silva,
Barbara K?nig,Animal Behaviour
James H. Davenport,fail
Richard Garner,
Daniel Hirschkoff,fail
Nobuko Yoshida,Programming Languages and Theoretical Computer Science
Samuel Mimram,"category theory, type theory, logic, rewriting, concurrency"
Andreas Abel,"Type Theory, Functional Programming, Verification, Termination"
Simona Ronchi Della Rocca,fail
Anca Muscholl,"verification, concurrent systems, synthesis"
Pascal Weil,fail
Davide Sangiorgi,Concurrency theory - Programming languages - type systems
Gabriele Fici,"Theoretical Computer Science, Combinatorics on Words, String Algorithms, Discrete Mathematics"
Hugo Gimbert,th®¶orie des jeux / robotique
Richard E Mayer,Educational psychology
Pablo Arrighi,Quantum information
Christian Majenz,"post-quantum cryptography, quantum cryptography, quantum information theory"
Nathana?l Fijalkow,"Games, Program Synthesis"
Fabio Zanasi,"Program Semantics, Category Theory, String Diagrams, Machine Learning, Probabilistic Computation"
Jean Goubault-Larrecq,
Mickael Randour,"Theoretical computer science, AI, formal methods, game theory."
Bj?rn Kjos-Hanssen,"Computability, Automata, Modal logic, Proof assistants"
Anupam Das,Dermatology
Chris Heunen,"Category theory, Foundations of Quantum Informatics, Operator algebra, Probabilistic programming"
Luca Padovani,"programming languages, type systems, concurrency theory, formal software verification"
Prof. Michele Loreti,"Concurrency Theory, Formal Methods, Programming Languages"
Michael Affenzeller,"Evolutionary Algorithms, Machine Learning, Genetic Algorithms, Genetic Programming, Symbolic Regression"
Tom Hirschowitz,"Programming Languages, Logic in Computer Science, Category Theory"
Simone  Castellano,
Pierre Clairambault,"Semantics of programming languages, game semantics, program verification, proof theory, concurrency"
Benny Kimelfeld,"Databases, Information Extraction, Data Mining"
Damien Pous,
Nathalie Bertrand,"theoretical computer science, model checking, probabilistic systems"
Jan Krajicek,"mathematical logic, complexity theory"
Matteo Mio,fail
Yde Venema,fail
Dr.-Ing Alexis Ocampo,"Enterprise Architecture, Software Engineering, Variability Modeling"
Russell O'Connor,Physiatry
Stephan M. Wagner,"supply chain management, logistics, purchasing, operations"
Jan Mandel,"Wildfire Modeling, Data Assimilation, Domain Decomposition, Multigrid, Data Science"
Bartek Klin,"nominal sets, coalgebra, structural operational semantics, logic in computer science"
Wojciech Czerwinski,"automata theory, infinite state systems, logic"
Philip B. Stark,"Statistics, Geophysics, Astrophysics, Inverse Problems, Uncertainty Quantification"
Peter J. Stuckey,fail
Jiri Velebil,fail
David N. Jansen,Computer Science: Model checking
Gorjan Alagic,fail
Jan Rutten,"computer science, mathematics, logic"
Wanderson Roger Azevedo Dias,"Computer Architecture, Embedded Systems, High Performance Computing, Parallel Computing, Code Compression"
Anastasios Nentidis,"Biomedical Knowledge Discovery, Machine Learning"
Anastasia Krithara,"Machine Learning, Information extraction, Artificial intelligence, Biomedical informatics"
Marcelo Fiore,"theoretical computer science, category theory"
Andrew M Pitts,"type theory, category theory, nominal techniques, programming language semantics, logic in computer"
Matija Pretnar,"Computer science, Programming languages"
Naoki Kobayashi,Computer Science
Joost-Pieter Katoen,"formal methods, model checking, concurrency theory, probabilistic programming, program verification"
Manfred Kufleitner,"automata theory, logic in computer science, formal languages, semigroups, combinatorics on words"
Rui Soares Barbosa,"Quantum Foundations, Quantum Computer Science, Theoretical Computer Science, Category Theory"
Alexander Khoperskov,Numerical Simulations
Patricia Johann,
Pekka Abrahamsson,"Software Engineering, Information Systems"
C. -H. Luke Ong,fail
Fr®¶d®¶ric Blanqui,"dependent type theory, rewriting theory, logic, formal proofs, proof assistants"
Kazuo Iwama,"algorithms, complexity theory"
Rem W. Collier,fail
Rudy Raymond,"Quantum Computation, Quantum Information, Algorithms, Artificial Intelligent, Optimization"
Olivier Colliot,"machine learning, image analysis, medical imaging, neuroimaging, brain disorders"
Alessio Guglielmi,Proof Theory
?tienne Andr®¶,"Computer science, Formal methods, model checking, verification of real-time systems, parameter synthesis"
Yogesh Simmhan,"Distributed Systems, Edge Accelerators, Graph Analytics, Cloud Computing, Federated Learning"
Marta Kwiatkowska,"Computer Science, Automated Verification, Probabilistic/Quantitative Model Checking"
David Monniaux,"Program analysis, abstract interpretation, decision procedures, verified compilation"
Miko?aj Boja®Ωczyk,
Frank Pfenning,"Programming Languages, Logic, Type Theory, Automated Deduction, Computer Security"
