author,h_index,total_citations,paper_count
Diederik Aerts,10,342,14
Sandro Sozzo,9,281,12
Lars Birkedal,8,542,11
Patricia Bouyer,8,259,9
Andrew M. Childs,8,379,9
J¨¹rgen M¨¹nch,8,195,13
Philippe Schnoebelen,7,257,8
Moshe Y. Vardi,7,462,7
Alexander Kurz,7,200,8
Harumichi Nishimura,7,256,10
Radu Mardare,7,88,8
Luc Segoufin,7,261,10
Matthew England,7,280,10
Simon Perdrix,7,193,8
Sylvain Schmitz,6,234,6
Giorgi Japaridze,6,123,7
Manuel Bodirsky,6,239,7
Bart Jacobs,6,421,7
Amy Glen,6,147,7
Krishnendu Chatterjee,6,419,6
Ashraf A. Shahin,6,107,8
Thomas A. Henzinger,6,384,6
Martin Grohe,6,139,7
James Worrell,6,251,7
Igor Walukiewicz,6,193,7
Nicolas Markey,6,318,6
Kim G. Larsen,6,148,6
Carsten Lutz,6,229,6
Thierry Coquand,6,163,7
Fran?ois Le Gall,6,117,9
Matthew Hennessy,6,253,7
Alejandro D¨ªaz-Caro,5,97,6
Sevag Gharibian,5,201,6
Miko?aj Boja¨½czyk,5,258,8
Achim Blumensath,5,67,6
Lutz Schr?der,5,104,9
Johannes Borgstr?m,5,205,5
Michael Timothy Bennett,5,34,7
Alain Finkel,5,132,7
Benedikt Bollig,5,105,7
Stefan Milius,5,120,11
Filippo Bonchi,5,241,10
Klaus Weihrauch,5,67,5
Thomas Place,5,109,8
Clemens Kupke,5,243,5
Bruno Courcelle,5,96,5
Giulio Manzonetto,5,71,7
Ugo Dal Lago,5,324,6
Hongseok Yang,5,235,5
Carlo A. Furia,5,196,5
Bertrand Meyer,5,190,5
Benedikt Ahrens,5,101,8
Holger Hermanns,5,127,6
Thomas Brihaye,5,139,6
M. England,5,129,5
Arno Pauly,5,162,5
Rasmus Ejlers M?gelberg,5,294,5
Delia Kesner,5,111,7
Thomas Colcombet,5,194,7
Massimo Bartoletti,5,113,6
Sven Schewe,5,65,6
Michael Lampis,5,79,6
Martin Zimmermann,5,89,5
Marc Zeitoun,5,112,5
Tarmo Uustalu,5,251,5
Bernd Bischl,4,298,4
Tomas Veloz,4,87,5
David Lillis,4,37,4
Emmanuel Filiot,4,89,5
Olaf Beyersdorff,4,117,4
Bart?omiej P?aczek,4,56,4
Conrad Sanderson,4,138,4
Christine Tasson,4,77,4
Yuri Gordienko,4,60,5
Robin Kothari,4,206,4
Jan Schwinghammer,4,254,4
Yusuke Kawamoto,4,67,4
J. H. Davenport,4,114,4
Oleg Alienin,4,52,4
Heribert Vollmer,4,83,5
Bas Spitters,4,154,5
Sergii Stirenko,4,60,5
Jurriaan Rot,4,122,6
Gabriel Kronberger,4,41,8
Parosh Aziz Abdulla,4,105,5
Vincenzo Aquilanti,4,66,4
Matthias Christandl,4,35,4
Giuseppe Casalicchio,4,298,4
Jonathan D. Beezley,4,112,4
Alexander Rabinovich,4,109,7
Dusko Pavlovic,4,52,6
Thomas Ehrhard,4,62,5
Ichiro Hasuo,4,260,5
Nick Bezhanishvili,4,90,5
Joachim Parrow,4,183,4
Ana Carla P. Bitencourt,4,66,4
Thorsten Altenkirch,4,160,4
Mirco Ragni,4,66,4
Joerg Endrullis,4,88,4
Prateek Karandikar,4,73,4
Dimitri Hendriks,4,75,4
Frank Wolter,4,154,4
R. Portugal,4,71,4
Ahmed Bouajjani,4,170,4
Jean-Louis Krivine,4,119,4
Martin Ziegler,4,83,4
Samson Abramsky,4,252,5
Florent Foucaud,4,68,6
Neil Ghani,4,129,5
Nicolai Kraus,4,157,5
Helle Hvid Hansen,4,182,4
Hendrik Jan Hoogeboom,4,67,4
Alexandra Silva,4,218,7
Barbara K?nig,4,138,4
James H. Davenport,4,88,4
Richard Garner,4,186,4
Daniel Hirschkoff,4,64,4
Nobuko Yoshida,4,209,4
Samuel Mimram,4,94,6
Andreas Abel,4,134,4
Simona Ronchi Della Rocca,4,67,4
Anca Muscholl,4,177,5
Pascal Weil,4,52,5
Davide Sangiorgi,4,47,5
Gabriele Fici,4,83,8
Hugo Gimbert,4,63,4
Richard Mayr,4,282,5
Pablo Arrighi,4,99,4
Christian Majenz,4,282,4
Nathana?l Fijalkow,4,52,5
Fabio Zanasi,4,65,8
Jean Goubault-Larrecq,4,137,5
Mickael Randour,4,58,4
Bj?rn Kjos-Hanssen,4,40,4
Anupam Das,4,88,7
Chris Heunen,4,48,4
Luca Padovani,4,213,5
Michele Loreti,4,124,4
Michael Affenzeller,4,39,6
Tom Hirschowitz,4,60,4
Simon Castellan,4,82,4
Pierre Clairambault,4,89,5
Benny Kimelfeld,4,117,4
Damien Pous,4,94,6
Nathalie Bertrand,4,112,4
Jan Krajicek,4,64,4
Matteo Mio,4,79,4
Yde Venema,4,63,4
Alexis Ocampo,4,69,4
Russell O'Connor,4,95,4
Stefan Wagner,4,51,7
Jan Mandel,4,116,5
Bartek Klin,4,182,5
Wojciech Czerwi¨½ski,4,79,4
Philip B. Stark,3,24,5
Peter J. Stuckey,3,28,7
Jiri Velebil,3,75,3
David N. Jansen,3,85,3
Gorjan Alagic,3,131,3
Jan Rutten,3,220,3
Roger W. Anderson,3,51,3
Anastasios Nentidis,3,99,3
Anastasia Krithara,3,99,3
Marcelo Fiore,3,17,3
Andrew M. Pitts,3,107,4
Matija Pretnar,3,286,4
Naoki Kobayashi,3,129,4
Joost-Pieter Katoen,3,170,3
Manfred Kufleitner,3,46,3
Rui Soares Barbosa,3,159,3
Alexander Khoperskov,3,62,3
Patricia Johann,3,55,3
Pekka Abrahamsson,3,102,3
C. -H. Luke Ong,3,113,3
Fr¨¦d¨¦ric Blanqui,3,95,4
Kazuo Iwama,3,174,3
Rem W. Collier,3,32,3
Rudy Raymond,3,178,3
Olivier Colliot,3,42,3
Alessio Guglielmi,3,110,3
¨¦tienne Andr¨¦,3,53,6
Yogesh Simmhan,3,174,4
Marta Kwiatkowska,3,375,3
David Monniaux,3,885,3
Mikolaj Bojanczyk,3,81,3
Frank Pfenning,3,26,3
George Metcalfe,3,44,4
Konstantinos Chatzikokolakis,3,41,3
Ulrich Berger,3,73,4
Karl Svozil,3,49,6
Catuscia Palamidessi,3,41,3
